Rank,Combination,Silhouette_Score,Silhouette_Improvement_%,DB_Score,DB_Improvement_%,CH_Score,CH_Improvement_%,E_Function,A_Function,p_Value
Baseline,Standard_KMeans,0.16713875525171773,0.0,2.0089502858582207,0.0,25.21115291400713,0.0,Euclidean,Mean,
1,E_6_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_6,A4,
2,E_GD_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_GD,A4,
3,E_5_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_5,A4,
4,E_4_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_4,A4,
5,E_LK_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_LK,A4,
6,E_3_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_3,A4,
7,E_FD_R_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_FD_R,A4,
8,E_GD_R_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_GD_R,A4,
9,E_LK_R_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_LK_R,A4,
10,E_GG_A4,0.42,151.28821820376908,0.0,100.0,inf,inf,E_GG,A4,
