Rank,Combination,Silhouette_Score,Silhouette_Improvement_%,DB_Score,DB_Improvement_%,CH_Score,CH_Improvement_%,E_Function,A_Function,p_Value
Baseline,Standard_KMeans,0.797473988963273,0.0,0.2811066469065263,0.0,3290.737330989358,0.0,Euclidean,Mean,
1,E_FD_R_A4,0.7206037170417988,-9.639219960190378,0.35165375684259015,-25.096208400764773,1951.831599981436,-40.68710432763045,E_FD_R,A4,
2,E_LK_A2_p0.1,0.5740439625423822,-28.01721805514345,0.4978109344900865,-77.08970597753911,361.68833650978894,-89.00889678724229,E_LK,A2,0.1
3,E_LK_A2_p1.0,0.5594843515053936,-29.842934158550953,0.5383078216296374,-91.49594203961877,341.0195792487499,-89.63698572847738,E_LK,A2,1.0
4,E_LK_A3,0.5450421451573096,-31.653928190702267,0.5007362193535074,-78.1303376721691,373.31248339473154,-88.65565841797238,E_LK,A3,
5,E_LK_R_A2_p0.1,0.5210039539878751,-34.66821975407783,0.5939105001690188,-111.2758651226437,310.7725944109074,-90.55614097532744,E_LK_R,A2,0.1
6,E_6_A2_p0.1,0.49837224506923355,-37.50614415435365,0.6376875459903624,-126.84897458237852,286.57650189387823,-91.29141973152505,E_6,A2,0.1
7,E_LK_R_A2_p1.0,0.4896323695722824,-38.602089052608335,0.6841927140581079,-143.39257772357686,281.4740552125933,-91.44647454654279,E_LK_R,A2,1.0
8,E_FD_A4,0.47585186485128445,-40.330108387622985,0.7684487469704986,-173.3655555380814,581.5017993936019,-82.32913353741381,E_FD,A4,
9,E_6_A2_p1.0,0.4748152993375304,-40.46008949397877,0.7010198101244941,-149.37859628683822,265.9618663510308,-91.91786400432423,E_6,A2,1.0
10,E_LK_R_A3,0.47468530431487693,-40.47639034196285,0.6428362378237203,-128.68055412345922,300.07594334096694,-90.88119429906763,E_LK_R,A3,
