Rank,Combination,Silhouette_Score,Silhouette_Improvement_%,DB_Score,DB_Improvement_%,CH_Score,CH_Improvement_%,E_Function,A_Function,p_Value
Baseline,Standard_KMeans,0.3433822406907781,0.0,1.3205098372342035,0.0,267.6917158605383,0.0,Euclidean,Mean,
1,E_FD_R_A2_p0.1,0.7407954945256421,115.73494687302181,0.8422068289287348,36.22108634247437,440.8399527503719,64.6819556343836,E_FD_R,A2,0.1
2,E_FD_R_A2_p1.0,0.7314779976636792,113.02149936239371,0.5974140573889242,54.75883325184439,484.06117177341844,80.8278490118103,E_FD_R,A2,1.0
3,E_FD_R_A2_p4.0,0.726480061112073,111.56599702145964,0.3707686179364233,71.92231307318428,596.6362825567863,122.88186268252738,E_FD_R,A2,4.0
4,E_FD_A2_p0.1,0.6168859030856678,79.64991487174338,0.825071301388694,37.518731165471756,561.0992933915786,109.60652128805488,E_FD,A2,0.1
5,E_LK_A2_p0.1,0.6168859030856678,79.64991487174338,0.825071301388694,37.518731165471756,561.0992933915786,109.60652128805488,E_LK,A2,0.1
6,E_LK_A2_p1.0,0.5944596170988395,73.11891724597403,0.6774351414805491,48.69897047496207,580.3934809716659,116.81413603177715,E_LK,A2,1.0
7,E_FD_A2_p1.0,0.5944596170988395,73.11891724597403,0.6774351414805491,48.69897047496207,580.3934809716659,116.81413603177715,E_FD,A2,1.0
8,E_LK_A2_p4.0,0.5786948271496272,68.52788483920236,0.5157184860361242,60.94550214663359,648.7922186191107,142.3654450917404,E_LK,A2,4.0
9,E_FD_A2_p4.0,0.5786948271496272,68.52788483920236,0.5157184860361242,60.94550214663359,648.7922186191107,142.3654450917404,E_FD,A2,4.0
10,E_6_A2_p0.1,0.506854588863368,47.60652380965726,1.0817062687192853,18.084194587682145,581.5220299715463,117.23572136035281,E_6,A2,0.1
