Rank,Combination,Silhouette_Score,Silhouette_Improvement_%,DB_Score,DB_Improvement_%,CH_Score,CH_Improvement_%,E_Function,A_Function,p_Value
Baseline,Standard_KMeans,0.35323019761236274,0.0,1.1751769631284947,0.0,174.9430452192976,0.0,Euclidean,Mean,
1,E_FD_R_A4,0.6135093394432848,73.68541636311463,0.18925020971548212,83.89602454325941,1505.6307087386242,760.6405055149579,E_FD_R,A4,
2,E_4_A4,0.4962298654323095,40.48342094943864,0.24568896354469028,79.09344964603203,459.7637897671885,162.80769789439614,E_4,A4,
3,E_GD_R_A4,0.4652435473993367,31.71114772862602,0.30074639487029264,74.40841640822661,473.7082187014047,170.77853715624641,E_GD_R,A4,
4,E_FD_R_A2_p4.0,0.4330206760093419,22.58880439337233,0.4019595289222934,65.79582977424798,739.1704546882185,322.5206287918682,E_FD_R,A2,4.0
5,E_FD_A4,0.42419572538348355,20.090447603519692,0.3756799212670702,68.03205533684434,775.7113136915981,343.40791754208647,E_FD,A4,
6,E_LK_A4,0.42419572538348355,20.090447603519692,0.3756799212670702,68.03205533684434,775.7113136915981,343.40791754208647,E_LK,A4,
7,E_FD_R_A2_p0.1,0.3862469934293915,9.3471045341547,0.6916487604888331,41.14513965219657,431.1572151655773,146.45576200248817,E_FD_R,A2,0.1
8,E_FD_R_A2_p1.0,0.3813884971589321,7.971656935591463,0.5923804084053057,49.59223785085937,502.9917029295841,187.51740447816337,E_FD_R,A2,1.0
9,E_3_A4,0.37995354432241046,7.565419630224851,0.4327454068269915,63.17614960091124,445.62488840326944,154.7256953511139,E_3,A4,
10,E_LK_R_A4,0.36224192709448483,2.5512341648693417,0.656734737676399,44.11609840205904,670.5397634352971,283.29032319904496,E_LK_R,A4,
