Rank,Combination,Silhouette_Score,Silhouette_Improvement_%,DB_Score,DB_Improvement_%,CH_Score,CH_Improvement_%,E_Function,A_Function,p_Value
Baseline,Standard_KMeans,0.1178512561512019,0.0,2.622139436586235,0.0,35.89467153213674,0.0,Euclidean,Mean,
1,E_FD_R_A2_p4.0,0.3006798942853943,155.13507798306813,0.34521768406897757,86.83450318269813,525.0559041197432,1362.7683767760827,E_FD_R,A2,4.0
2,E_LK_A2_p4.0,0.2476229966415139,110.11485556319931,0.39561534905335777,84.91249765235942,556.267640116972,1449.7220516948926,E_LK,A2,4.0
3,E_FD_A2_p4.0,0.2476229966415139,110.11485556319931,0.39561534905335777,84.91249765235942,556.267640116972,1449.7220516948926,E_FD,A2,4.0
4,E_FD_R_A2_p1.0,0.24626844304856516,108.96547995432937,0.7991721482985171,69.52213382904763,357.39742262883203,895.683780833185,E_FD_R,A2,1.0
5,E_LK_A2_p1.0,0.2437795257713939,106.85356587003822,0.8297577021083922,68.35569876525504,330.69974498234166,821.3059511807037,E_LK,A2,1.0
6,E_FD_A2_p1.0,0.2437795257713939,106.85356587003822,0.8297577021083922,68.35569876525504,330.69974498234166,821.3059511807037,E_FD,A2,1.0
7,E_GD_R_A2_p4.0,0.2214853626331353,87.93636136467818,0.4516275844674621,82.77637038801275,583.017433582377,1524.2450723094028,E_GD_R,A2,4.0
8,E_5_A2_p4.0,0.21756459885987908,84.60948653847697,0.5051692961448087,80.73446098646497,816.7118784436866,2175.3011619356344,E_5,A2,4.0
9,E_GG_A2_p4.0,0.21640968957961398,83.62951456534556,0.49912716482099284,80.96488852359404,744.7319909434041,1974.770318699366,E_GG,A2,4.0
10,E_GD_A2_p4.0,0.21640968957961398,83.62951456534556,0.49912716482099284,80.96488852359404,744.7319909434041,1974.770318699366,E_GD,A2,4.0
