Rank,Combination,Silhouette_Score,Silhouette_Improvement_%,DB_Score,DB_Improvement_%,CH_Score,CH_Improvement_%,E_Function,A_Function,p_Value
Baseline,Standard_KMeans,0.2848589191898987,0.0,1.3891879777181646,0.0,70.94000800315123,0.0,Euclidean,Mean,
1,E_4_A4,0.5609115982003696,96.90856083970564,0.045643944541963875,96.71434353924246,495.9019212951644,599.0440729484212,E_4,A4,
2,E_FD_R_A4,0.45865192154588447,61.010202120484834,592.7668176319274,-42570.02213808293,791.6830239057322,1015.9894764468659,E_FD_R,A4,
3,E_3_A4,0.4530324163223792,59.03746935877725,0.18231031803740638,86.87648317135141,184.6448674980988,160.2831218878586,E_3,A4,
4,E_5_A4,0.4489831776873908,57.615980206707206,0.19995065614765936,85.60665227782263,177.64864366386556,150.4209523855343,E_5,A4,
5,E_GG_A4,0.4362931988384579,53.16115081782181,0.22519225970423187,83.78964810261851,167.05809603767173,135.4920738523892,E_GG,A4,
6,E_FD_A4,0.34225940312552455,20.150495585276136,22.72893065975507,-1536.130676648158,328.9405046670332,363.68828243213807,E_FD,A4,
7,E_GD_R_A4,0.31082000944167354,9.11366592473382,1.6571793619652064,-19.291225416968828,317.428293296997,347.46018816758027,E_GD_R,A4,
8,E_3_A2_p1.0,0.29871098092168985,4.862779712562483,1.4049098811249303,-1.1317333333527695,76.13949026547317,7.329407493287807,E_3,A2,1.0
9,E_GD_R_A2_p1.0,0.29526305333703234,3.652381388204953,1.5367200898831797,-10.620025117647975,78.0075316545706,9.962676704385792,E_GD_R,A2,1.0
10,E_GD_A4,0.22850695618883474,-19.782411293745525,1.5506833974854857,-11.62516681382373,194.37826163427334,174.00372103938705,E_GD,A4,
