dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,method,inertia,error,combination
Blobs,Euclidean,Mean,,0.797473988963273,0.2811066469065263,3290.737330989358,4,Standard_KMeans,17.466197609060572,,Standard_KMeans
Blobs,E_LK,A2,0.1,0.5740439625423822,0.4978109344900865,361.68833650978894,4,Fuzzy_Equivalence,,,E_LK_A2_p0.1
Blobs,E_LK,A2,1.0,0.5594843515053936,0.5383078216296374,341.0195792487499,4,Fuzzy_Equivalence,,,E_LK_A2_p1.0
Blobs,E_LK,A2,4.0,0.4620070328731138,0.7148025402813811,286.9693720601335,4,Fuzzy_Equivalence,,,E_LK_A2_p4.0
Blobs,E_LK,A3,,0.5450421451573096,0.5007362193535074,373.31248339473154,4,Fuzzy_Equivalence,,,E_LK_A3
Blobs,E_LK,A4,,0.041397632371155145,4.300635174140329,135.50098512922924,4,Fuzzy_Equivalence,,,E_LK_A4
Blobs,E_GG,A2,0.1,0.11728322329876434,0.9359153724572692,81.19051227408643,4,Fuzzy_Equivalence,,,E_GG_A2_p0.1
Blobs,E_GG,A2,1.0,0.14602217543834828,1.161027676696833,112.68881111932804,4,Fuzzy_Equivalence,,,E_GG_A2_p1.0
Blobs,E_GG,A2,4.0,0.07141901838110816,2.0997528176172913,158.64877577979865,4,Fuzzy_Equivalence,,,E_GG_A2_p4.0
Blobs,E_GG,A3,,0.1212171345824162,1.226949145497084,99.70833761729483,4,Fuzzy_Equivalence,,,E_GG_A3
Blobs,E_GG,A4,,0.09042025833010128,1.2880729323610536,174.75153969303787,4,Fuzzy_Equivalence,,,E_GG_A4
Blobs,E_GD,A2,0.1,0.05706807982024344,1.5047818004727205,95.13701452821823,4,Fuzzy_Equivalence,,,E_GD_A2_p0.1
Blobs,E_GD,A2,1.0,-0.16668147523672583,1.5087015194950923,105.12730770174976,4,Fuzzy_Equivalence,,,E_GD_A2_p1.0
Blobs,E_GD,A2,4.0,-0.25865588561155245,1.4422017734940635,130.8796710696363,4,Fuzzy_Equivalence,,,E_GD_A2_p4.0
Blobs,E_GD,A3,,-0.035977563362930544,1.6681374529639343,92.63365063518592,4,Fuzzy_Equivalence,,,E_GD_A3
Blobs,E_GD,A4,,-0.0024035089907655603,1.9626478241850114,137.91883966395713,4,Fuzzy_Equivalence,,,E_GD_A4
Blobs,E_FD,A2,0.1,0.2946723745398475,1.467563940351159,186.69304138158006,4,Fuzzy_Equivalence,,,E_FD_A2_p0.1
Blobs,E_FD,A2,1.0,0.30714466299520893,1.5085716501792676,194.49689824250768,4,Fuzzy_Equivalence,,,E_FD_A2_p1.0
Blobs,E_FD,A2,4.0,0.22489386677120143,2.361763080752,224.4823422850659,4,Fuzzy_Equivalence,,,E_FD_A2_p4.0
Blobs,E_FD,A3,,0.21156917688519722,1.632434646322107,145.53167274178486,4,Fuzzy_Equivalence,,,E_FD_A3
Blobs,E_FD,A4,,0.47585186485128445,0.7684487469704986,581.5017993936019,3,Fuzzy_Equivalence,,,E_FD_A4
Blobs,E_LK_R,A2,0.1,0.5210039539878751,0.5939105001690188,310.7725944109074,4,Fuzzy_Equivalence,,,E_LK_R_A2_p0.1
Blobs,E_LK_R,A2,1.0,0.4896323695722824,0.6841927140581079,281.4740552125933,4,Fuzzy_Equivalence,,,E_LK_R_A2_p1.0
Blobs,E_LK_R,A2,4.0,0.059368630848857296,1.5231825066555909,126.31653397889447,4,Fuzzy_Equivalence,,,E_LK_R_A2_p4.0
Blobs,E_LK_R,A3,,0.47468530431487693,0.6428362378237203,300.07594334096694,4,Fuzzy_Equivalence,,,E_LK_R_A3
Blobs,E_LK_R,A4,,0.03137868543993253,3.939551451351074,129.22770168140735,4,Fuzzy_Equivalence,,,E_LK_R_A4
Blobs,E_GG_R,A2,0.1,0.0,inf,0.0,0,Fuzzy_Equivalence,,Unknown fuzzy equivalence function: E_GG_R,E_GG_R_A2_p0.1
Blobs,E_GG_R,A2,1.0,0.0,inf,0.0,0,Fuzzy_Equivalence,,Unknown fuzzy equivalence function: E_GG_R,E_GG_R_A2_p1.0
Blobs,E_GG_R,A2,4.0,0.0,inf,0.0,0,Fuzzy_Equivalence,,Unknown fuzzy equivalence function: E_GG_R,E_GG_R_A2_p4.0
Blobs,E_GG_R,A3,,0.0,inf,0.0,0,Fuzzy_Equivalence,,Unknown fuzzy equivalence function: E_GG_R,E_GG_R_A3
Blobs,E_GG_R,A4,,0.0,inf,0.0,0,Fuzzy_Equivalence,,Unknown fuzzy equivalence function: E_GG_R,E_GG_R_A4
Blobs,E_GD_R,A2,0.1,0.282175057573469,1.3714809759961317,73.65141703022024,4,Fuzzy_Equivalence,,,E_GD_R_A2_p0.1
Blobs,E_GD_R,A2,1.0,0.03704610023716679,1.5767362720530047,81.50555167178376,4,Fuzzy_Equivalence,,,E_GD_R_A2_p1.0
Blobs,E_GD_R,A2,4.0,-0.28538835391390516,1.5193066748876491,107.85768123413688,4,Fuzzy_Equivalence,,,E_GD_R_A2_p4.0
Blobs,E_GD_R,A3,,0.09959084325435358,1.5751970399694613,81.301760424199,4,Fuzzy_Equivalence,,,E_GD_R_A3
Blobs,E_GD_R,A4,,-0.11805264438144088,4.169188021475504,105.83389457458404,4,Fuzzy_Equivalence,,,E_GD_R_A4
Blobs,E_FD_R,A2,0.1,0.4735441564749392,1.3028522633304886,267.8171420533527,4,Fuzzy_Equivalence,,,E_FD_R_A2_p0.1
Blobs,E_FD_R,A2,1.0,0.44121166739321843,1.3706216781370335,281.07227848311646,4,Fuzzy_Equivalence,,,E_FD_R_A2_p1.0
