dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,method,inertia,error,combination
Breast_Cancer,Euclidean,Mean,,0.3433822406907781,1.3205098372342035,267.6917158605383,2,Standard_KMeans,11595.526607115786,,Standard_KMeans
Breast_Cancer,E_LK,A2,0.1,0.6168859030856678,0.825071301388694,561.0992933915786,2,Fuzzy_Equivalence,,,E_LK_A2_p0.1
Breast_Cancer,E_LK,A2,1.0,0.5944596170988395,0.6774351414805491,580.3934809716659,2,Fuzzy_Equivalence,,,E_LK_A2_p1.0
Breast_Cancer,E_LK,A2,4.0,0.5786948271496272,0.5157184860361242,648.7922186191107,2,Fuzzy_Equivalence,,,E_LK_A2_p4.0
Breast_Cancer,E_LK,A3,,0.01738982810212685,1.8402790770386237,568.0088044650603,2,Fuzzy_Equivalence,,,E_LK_A3
Breast_Cancer,E_LK,A4,,0.34790976934553336,0.07208297509037254,1167.2070779648172,2,Fuzzy_Equivalence,,,E_LK_A4
Breast_Cancer,E_GG,A2,0.1,-0.008664940855481754,1.9691157999131117,566.8706449713605,2,Fuzzy_Equivalence,,,E_GG_A2_p0.1
Breast_Cancer,E_GG,A2,1.0,0.04242331393646392,1.5398101055709876,573.3810682103898,2,Fuzzy_Equivalence,,,E_GG_A2_p1.0
Breast_Cancer,E_GG,A2,4.0,0.07549900176941458,1.3576471981878115,638.1492734829402,2,Fuzzy_Equivalence,,,E_GG_A2_p4.0
Breast_Cancer,E_GG,A3,,0.0,inf,0.0,1,Fuzzy_Equivalence,,,E_GG_A3
Breast_Cancer,E_GG,A4,,0.15219499527324162,0.8424211203643708,811.4442011788639,2,Fuzzy_Equivalence,,,E_GG_A4
Breast_Cancer,E_GD,A2,0.1,-0.008664940855481754,1.9691157999131117,566.8706449713605,2,Fuzzy_Equivalence,,,E_GD_A2_p0.1
