dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,method,inertia,error,combination
Heart_Failure,Euclidean,Mean,,0.1178512561512019,2.622139436586235,35.89467153213674,2,Standard_KMeans,3201.1206280216065,,Standard_KMeans
Heart_Failure,E_LK,A2,0.1,0.08594339978658444,1.656503927313461,198.51639631908367,2,Fuzzy_Equivalence,,,E_LK_A2_p0.1
Heart_Failure,E_LK,A2,1.0,0.2437795257713939,0.8297577021083922,330.69974498234166,2,Fuzzy_Equivalence,,,E_LK_A2_p1.0
Heart_Failure,E_LK,A2,4.0,0.2476229966415139,0.39561534905335777,556.267640116972,2,Fuzzy_Equivalence,,,E_LK_A2_p4.0
Heart_Failure,E_LK,A3,,-0.08293976576197556,1.7982701316905993,276.59575446687177,2,Fuzzy_Equivalence,,,E_LK_A3
Heart_Failure,E_LK,A4,,0.14715719063545152,0.0,inf,2,Fuzzy_Equivalence,,,E_LK_A4
Heart_Failure,E_GG,A2,0.1,0.003023545066536037,1.992273191911829,298.2455664514367,2,Fuzzy_Equivalence,,,E_GG_A2_p0.1
Heart_Failure,E_GG,A2,1.0,0.13356425726249735,1.2078784529672795,397.69978268001853,2,Fuzzy_Equivalence,,,E_GG_A2_p1.0
Heart_Failure,E_GG,A2,4.0,0.21640968957961398,0.49912716482099284,744.7319909434041,2,Fuzzy_Equivalence,,,E_GG_A2_p4.0
Heart_Failure,E_GG,A3,,0.0,inf,0.0,1,Fuzzy_Equivalence,,,E_GG_A3
Heart_Failure,E_GG,A4,,0.14715719063545152,0.0,inf,2,Fuzzy_Equivalence,,,E_GG_A4
Heart_Failure,E_GD,A2,0.1,0.003023545066536037,1.992273191911829,298.2455664514367,2,Fuzzy_Equivalence,,,E_GD_A2_p0.1
Heart_Failure,E_GD,A2,1.0,0.13356425726249735,1.2078784529672795,397.69978268001853,2,Fuzzy_Equivalence,,,E_GD_A2_p1.0
Heart_Failure,E_GD,A2,4.0,0.21640968957961398,0.49912716482099284,744.7319909434041,2,Fuzzy_Equivalence,,,E_GD_A2_p4.0
Heart_Failure,E_GD,A3,,0.0,inf,0.0,1,Fuzzy_Equivalence,,,E_GD_A3
Heart_Failure,E_GD,A4,,0.14715719063545152,0.0,inf,2,Fuzzy_Equivalence,,,E_GD_A4
Heart_Failure,E_FD,A2,0.1,0.08594339978658444,1.6565039273134612,198.51639631908367,2,Fuzzy_Equivalence,,,E_FD_A2_p0.1
Heart_Failure,E_FD,A2,1.0,0.2437795257713939,0.8297577021083922,330.69974498234166,2,Fuzzy_Equivalence,,,E_FD_A2_p1.0
Heart_Failure,E_FD,A2,4.0,0.2476229966415139,0.39561534905335777,556.267640116972,2,Fuzzy_Equivalence,,,E_FD_A2_p4.0
Heart_Failure,E_FD,A3,,-0.08293976576197556,1.7982701316905993,276.59575446687177,2,Fuzzy_Equivalence,,,E_FD_A3
Heart_Failure,E_FD,A4,,0.14715719063545152,0.0,inf,2,Fuzzy_Equivalence,,,E_FD_A4
Heart_Failure,E_LK_R,A2,0.1,0.03596595002281087,1.8408344805719428,255.54587424081828,2,Fuzzy_Equivalence,,,E_LK_R_A2_p0.1
Heart_Failure,E_LK_R,A2,1.0,0.21059164423463156,1.0122248082283765,395.1804712989184,2,Fuzzy_Equivalence,,,E_LK_R_A2_p1.0
