dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,error,combination
Blobs,E_FD_R,A4,,0.7206037170417988,0.35165375684259015,1951.831599981436,3,,E_FD_R_A4
Blobs,E_LK,A2,0.1,0.5740439625423822,0.4978109344900865,361.68833650978894,4,,E_LK_A2_p0.1
Blobs,E_LK,A2,1.0,0.5594843515053936,0.5383078216296374,341.0195792487499,4,,E_LK_A2_p1.0
Blobs,E_LK,A3,,0.5450421451573096,0.5007362193535074,373.31248339473154,4,,E_LK_A3
Blobs,E_LK_R,A2,0.1,0.5210039539878751,0.5939105001690188,310.7725944109074,4,,E_LK_R_A2_p0.1
Blobs,E_6,A2,0.1,0.49837224506923355,0.6376875459903624,286.57650189387823,4,,E_6_A2_p0.1
Blobs,E_LK_R,A2,1.0,0.4896323695722824,0.6841927140581079,281.4740552125933,4,,E_LK_R_A2_p1.0
Blobs,E_FD,A4,,0.47585186485128445,0.7684487469704986,581.5017993936019,3,,E_FD_A4
Blobs,E_6,A2,1.0,0.4748152993375304,0.7010198101244941,265.9618663510308,4,,E_6_A2_p1.0
Blobs,E_LK_R,A3,,0.47468530431487693,0.6428362378237203,300.07594334096694,4,,E_LK_R_A3
