dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,error,combination
Breast_Cancer,E_FD_R,A2,0.1,0.7407954945256421,0.8422068289287348,440.8399527503719,2,,E_FD_R_A2_p0.1
Breast_Cancer,E_FD_R,A2,1.0,0.7314779976636792,0.5974140573889242,484.06117177341844,2,,E_FD_R_A2_p1.0
Breast_Cancer,E_FD_R,A2,4.0,0.726480061112073,0.3707686179364233,596.6362825567863,2,,E_FD_R_A2_p4.0
Breast_Cancer,E_FD,A2,0.1,0.6168859030856678,0.825071301388694,561.0992933915786,2,,E_FD_A2_p0.1
Breast_Cancer,E_LK,A2,0.1,0.6168859030856678,0.825071301388694,561.0992933915786,2,,E_LK_A2_p0.1
Breast_Cancer,E_LK,A2,1.0,0.5944596170988395,0.6774351414805491,580.3934809716659,2,,E_LK_A2_p1.0
Breast_Cancer,E_FD,A2,1.0,0.5944596170988395,0.6774351414805491,580.3934809716659,2,,E_FD_A2_p1.0
Breast_Cancer,E_LK,A2,4.0,0.5786948271496272,0.5157184860361242,648.7922186191107,2,,E_LK_A2_p4.0
Breast_Cancer,E_FD,A2,4.0,0.5786948271496272,0.5157184860361242,648.7922186191107,2,,E_FD_A2_p4.0
Breast_Cancer,E_6,A2,0.1,0.506854588863368,1.0817062687192853,581.5220299715463,2,,E_6_A2_p0.1
