dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,error,combination
Circles,E_FD_R,A4,,0.6135093394432848,0.18925020971548212,1505.6307087386242,2,,E_FD_R_A4
Circles,E_4,A4,,0.4962298654323095,0.24568896354469028,459.7637897671885,2,,E_4_A4
Circles,E_GD_R,A4,,0.4652435473993367,0.30074639487029264,473.7082187014047,2,,E_GD_R_A4
Circles,E_FD_R,A2,4.0,0.4330206760093419,0.4019595289222934,739.1704546882185,2,,E_FD_R_A2_p4.0
Circles,E_FD,A4,,0.42419572538348355,0.3756799212670702,775.7113136915981,2,,E_FD_A4
Circles,E_LK,A4,,0.42419572538348355,0.3756799212670702,775.7113136915981,2,,E_LK_A4
Circles,E_FD_R,A2,0.1,0.3862469934293915,0.6916487604888331,431.1572151655773,2,,E_FD_R_A2_p0.1
Circles,E_FD_R,A2,1.0,0.3813884971589321,0.5923804084053057,502.9917029295841,2,,E_FD_R_A2_p1.0
Circles,E_3,A4,,0.37995354432241046,0.4327454068269915,445.62488840326944,2,,E_3_A4
Circles,E_LK_R,A4,,0.36224192709448483,0.656734737676399,670.5397634352971,2,,E_LK_R_A4
