dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,error,combination
Wholesale_Customers,E_FD_R,A2,0.1,0.9417680683705263,0.7111673404368011,205.6114333532771,3,,E_FD_R_A2_p0.1
Wholesale_Customers,E_FD_R,A2,1.0,0.9311728126606557,0.6021152938305866,149.83491104846914,3,,E_FD_R_A2_p1.0
Wholesale_Customers,E_FD_R,A2,4.0,0.8896548349788513,0.980001586255845,141.1890385752891,3,,E_FD_R_A2_p4.0
Wholesale_Customers,E_FD_R,A3,,0.8815257424382612,1.29875773904086,101.90906815243208,3,,E_FD_R_A3
Wholesale_Customers,E_LK,A2,0.1,0.8521937239066184,0.5697144083077815,249.9781021646164,3,,E_LK_A2_p0.1
Wholesale_Customers,E_FD,A2,0.1,0.8512979769162303,0.6670347556809183,248.2856529604317,3,,E_FD_A2_p0.1
Wholesale_Customers,E_FD,A2,1.0,0.8195874226819215,0.7525183848192091,224.38228115158978,3,,E_FD_A2_p1.0
Wholesale_Customers,E_LK,A2,1.0,0.8184137722550321,0.6328918448856834,208.03601360318953,3,,E_LK_A2_p1.0
Wholesale_Customers,E_LK_R,A2,0.1,0.7969929902261436,0.9127095941344864,242.05523558940263,3,,E_LK_R_A2_p0.1
Wholesale_Customers,E_6,A2,0.1,0.786898285284962,0.7699824512557502,249.317726876917,3,,E_6_A2_p0.1
