dataset,E,A,p,silhouette_score,davies_bouldin_score,calinski_harabasz_score,n_clusters_found,method,inertia,error,combination
Moons,E_4,A4,,0.8063635631705562,0.09746800511549183,649.5495286445465,2,Fuzzy_Equivalence,,,E_4_A4
Moons,E_GD_R,A4,,0.7493735487334999,0.12615425399320473,620.4836448848148,2,Fuzzy_Equivalence,,,E_GD_R_A4
Moons,E_4,A2,0.1,0.6545194786529581,1.3377285283192886,186.82645312451282,2,Fuzzy_Equivalence,,,E_4_A2_p0.1
Moons,E_4,A2,4.0,0.6478280978520787,0.36235225308659996,315.78176749950524,2,Fuzzy_Equivalence,,,E_4_A2_p4.0
Moons,E_GD_R,A2,0.1,0.6242354289420343,1.3683037526486512,211.54428009317465,2,Fuzzy_Equivalence,,,E_GD_R_A2_p0.1
Moons,E_3,A4,,0.6068097512486019,0.19791455474063677,519.9693480677512,2,Fuzzy_Equivalence,,,E_3_A4
Moons,E_4,A2,1.0,0.6041931883093485,0.7933731621416817,217.4674744741622,2,Fuzzy_Equivalence,,,E_4_A2_p1.0
Moons,E_GD_R,A2,4.0,0.5981848636784394,0.39156752500208536,340.52553281386486,2,Fuzzy_Equivalence,,,E_GD_R_A2_p4.0
Moons,E_3,A2,0.1,0.5705481933970011,1.4225071495094563,241.8079973813942,2,Fuzzy_Equivalence,,,E_3_A2_p0.1
Moons,E_GD_R,A2,1.0,0.5641896782444412,0.8238539816104679,243.06824390738572,2,Fuzzy_Equivalence,,,E_GD_R_A2_p1.0
